dataset,J,v,nruns,eta_F,zeta,reduced_chi2,accepted,classification,eta_min,eta_max,zeta_min,zeta_max
J0p1_v0p1,0.1,0.1,20,0.460000,-0.005000,0.888216,false,no clear scaling phase,0.460000,0.580000,-0.020000,-0.005000
J0p1_v0p316227766,0.1,0.316227766,20,0.860000,0.150000,1.273368,false,no clear scaling phase,0.755000,0.860000,0.135000,0.200000
J0p1_v1,0.1,1,20,0.860000,0.145000,2.414790,false,no clear scaling phase,0.800000,0.860000,0.135000,0.220000
J0p1_v3p16227766,0.1,3.16227766,20,0.860000,0.685000,0.887604,false,no clear scaling phase,0.740000,0.860000,0.615000,0.695000
J0p1_v10,0.1,10,20,0.265000,0.215000,1.088873,false,no clear scaling phase,0.260000,0.380000,0.195000,0.275000
J0p316227766_v0p1,0.316227766,0.1,20,0.860000,0.225000,1.316972,false,no clear scaling phase,0.785000,0.860000,0.140000,0.260000
J0p316227766_v0p316227766,0.316227766,0.316227766,20,0.860000,0.135000,4.486869,false,no clear scaling phase,0.830000,0.860000,0.135000,0.200000
J0p316227766_v1,0.316227766,1,20,0.860000,0.685000,8.194948,false,no clear scaling phase,0.840000,0.860000,0.685000,0.690000
J0p316227766_v3p16227766,0.316227766,3.16227766,20,0.860000,-0.040000,1.249514,false,no clear scaling phase,0.740000,0.860000,-0.040000,-0.005000
J0p316227766_v10,0.316227766,10,20,0.110000,0.835000,0.883901,false,no clear scaling phase,0.080000,0.200000,0.760000,0.845000
J1_v0p1,1,0.1,20,0.790000,0.525000,1.020917,false,no clear scaling phase,0.740000,0.860000,0.480000,0.600000
J1_v0p316227766,1,0.316227766,20,0.620000,0.425000,1.754815,false,no clear scaling phase,0.595000,0.640000,0.390000,0.425000
J1_v1,1,1,20,0.470000,0.375000,3.580870,false,no clear scaling phase,0.445000,0.500000,0.365000,0.390000
J1_v3p16227766,1,3.16227766,20,0.375000,0.360000,3.493012,false,no clear scaling phase,0.350000,0.400000,0.355000,0.370000
J1_v10,1,10,20,0.400000,0.325000,2.023799,false,no clear scaling phase,0.375000,0.420000,0.325000,0.330000
J3p16227766_v0p1,3.16227766,0.1,20,0.450000,0.550000,0.645523,true,collapse accepted,0.420000,0.525000,0.525000,0.585000
J3p16227766_v0p316227766,3.16227766,0.316227766,20,0.410000,0.455000,1.481888,true,collapse accepted,0.385000,0.440000,0.425000,0.485000
J3p16227766_v1,3.16227766,1,20,0.270000,0.390000,3.302896,false,no clear scaling phase,0.250000,0.300000,0.360000,0.405000
J3p16227766_v3p16227766,3.16227766,3.16227766,20,0.165000,0.340000,3.757891,false,no clear scaling phase,0.145000,0.185000,0.335000,0.365000
J3p16227766_v10,3.16227766,10,20,0.330000,0.255000,33.099344,false,no clear scaling phase,0.260000,0.380000,0.215000,0.285000
J10_v0p1,10,0.1,20,0.270000,0.660000,0.433461,true,collapse accepted,0.220000,0.340000,0.645000,0.715000
J10_v0p316227766,10,0.316227766,20,0.380000,0.530000,0.651596,true,collapse accepted,0.345000,0.415000,0.500000,0.540000
J10_v1,10,1,20,0.295000,0.420000,1.363419,true,collapse accepted,0.270000,0.315000,0.400000,0.425000
J10_v3p16227766,10,3.16227766,20,0.220000,0.350000,1.852855,false,no clear scaling phase,0.205000,0.235000,0.350000,0.360000
J10_v10,10,10,20,0.255000,0.025000,0.909300,false,no clear scaling phase,0.220000,0.340000,0.010000,0.075000
